날짜,월임금
2002.01,176.2593
2002.02,201.7051
2002.03,180.517
2002.04,186.218
2002.05,171.2045
2002.06,200.5697
2002.07,193.9089
2002.08,190.105
2002.09,214.1452
2002.10,188.4437
2002.11,177.8304
2002.12,256.3427
2003.01,238.4179
2003.02,196.1773
2003.03,196.1553
2003.04,201.2357
2003.05,186.5924
2003.06,216.7653
2003.07,207.2309
2003.08,214.4414
2003.09,228.1784
2003.10,203.3897
2003.11,193.8805
2003.12,270.9688
2004.01,238.8306
2004.02,208.7923
2004.03,207.7888
2004.04,210.9306
2004.05,198.9239
2004.06,224.6655
2004.07,225.5923
2004.08,222.0468
2004.09,249.4746
2004.10,214.5015
2004.11,204.5349
2004.12,300.6896
2005.01,227.2819
2005.02,252.3515
2005.03,224.7518
2005.04,226.8493
2005.05,210.0619
2005.06,244.5645
2005.07,238.7041
2005.08,234.4935
2005.09,263.068
2005.10,229.8324
2005.11,219.0314
2005.12,314.281
2006.01,273.8348
2006.02,234.5103
2006.03,237.6756
2006.04,238.8083
2006.05,225.9765
2006.06,255.1295
2006.07,253.3465
2006.08,247.6598
2006.09,266.6384
2006.10,255.8144
2006.11,230.9915
2006.12,329.613
2007.01,250.2351
2007.02,285.328
2007.03,252.1092
2007.04,251.5773
2007.05,238.1976
2007.06,267.3476
2007.07,269.2254
2007.08,262.9486
2007.09,295.632
2007.10,255.686
2007.11,243.5221
2007.12,348.2419
2008.01,268.6586
2008.02,302.1579
2008.03,265.6188
2008.04,266.6444
2008.05,253.4501
2008.06,281.5018
2008.07,283.3512
2008.08,275.3661
2008.09,305.9955
2008.10,273.0154
2008.11,256.1658
2008.12,330.2461
2009.01,307.81
2009.02,273.1313
2009.03,268.7641
2009.04,274.2404
2009.05,259.5201
2009.06,285.6062
2009.07,286.5319
2009.08,278.906
2009.09,307.1197
2009.10,282.2604
2009.11,260.4111
2009.12,351.3036
2010.01,291.2735
2010.02,329.5817
2010.03,288.1521
2010.04,292.0976
2010.05,275.8016
2010.06,303.0765
2010.07,311.7473
2010.08,293.2889
2010.09,338.0162
2010.10,286.6269
2010.11,278.6992
2010.12,368.1496
2011.01,293.0231
2011.02,272.4445
2011.03,270.1145
2011.04,268.014
2011.05,258.1412
2011.06,276.6956
2011.07,285.7845
2011.08,285.0286
2011.09,295.0527
2011.10,275.1697
2011.11,259.7146
2011.12,327.5416
2012.01,329.5348
2012.02,281.9402
2012.03,283.2679
2012.04,281.1768
2012.05,270.3088
2012.06,291.1839
2012.07,294.364
2012.08,283.2572
2012.09,327.208
2012.10,284.0484
2012.11,270.7997
2012.12,340.1543
2013.01,307.7591
2013.02,324.3618
2013.03,293.9022
2013.04,292.3425
2013.05,282.184
2013.06,299.4475
2013.07,305.5646
2013.08,294.2542
2013.09,333.3364
2013.10,294.0914
2013.11,280.1443
2013.12,347.5731
2014.01,356.8221
2014.02,297.4422
2014.03,300.4186
2014.04,299.3424
2014.05,289.2236
2014.06,304.2311
2014.07,310.2913
2014.08,308.3065
2014.09,325.4852
2014.10,304.5328
2014.11,291.5576
2014.12,352.5306
2015.01,322.6129
2015.02,342.4283
2015.03,308.064
2015.04,304.0904
2015.05,296.8793
2015.06,312.9798
2015.07,320.7808
2015.08,310.7144
2015.09,344.999
2015.10,307.1087
2015.11,298.9595
2015.12,374.7998
2016.01,341.9458
2016.02,362.1131
2016.03,319.5187
2016.04,314.7575
2016.05,306.8328
2016.06,321.764
2016.07,332.0093
2016.08,325.1331
2016.09,356.6312
2016.10,321.325
2016.11,312.8484
2016.12,382.585
2017.01,397.4748
2017.02,325.6879
2017.03,330.7206
2017.04,325.6855
2017.05,316.8982
2017.06,331.2206
2017.07,340.5285
2017.08,328.0121
2017.09,372.7441
2017.10,326.3885
2017.11,319.5596
2017.12,386.4315
2018.01,385.3467
2018.02,401.5889
2018.03,348.3034
2018.04,336.9635
2018.05,331.6864
2018.06,342.5927
2018.07,359.599
2018.08,343.2846
2018.09,388.0063
2018.10,336.3933
2018.11,329.2545
2018.12,407.4093
2019.01,418.5199
2019.02,386.5694
2019.03,360.1093
2019.04,350.4309
2019.05,344.3958
2019.06,353.0858
2019.07,369.2786
2019.08,357.3645
2019.09,398.0035
2019.10,351.4387
2019.11,339.9827
2019.12,413.3827
2020.01,434.0031
2020.02,358.7043
2020.03,364.0621
2020.04,351.7194
2020.05,345.1342
2020.06,352.4888
2020.07,371.9823
2020.08,355.7474
2020.09,403.8598
2020.10,351.5995
2020.11,347.6916
2020.12,424.555
2021.01,408.6844
2021.02,417.6468
2021.03,379.4751
2021.04,366.4733
2021.05,359.5125
2021.06,368.0228
2021.07,398.3723
2021.08,371.2652
2021.09,419.6735
2021.10,364.0122
2021.11,361.2175
2021.12,457.5667
2022.01,501.9959
2022.02,390.3757
2022.03,405.035
2022.04,377.0094
2022.05,378.7133
2022.06,386.5278
2022.07,415.3222
2022.08,391.7316
2022.09,433.6813
2022.10,383.8247
2022.11,378.5033
2022.12,471.8957
2023.01,500.7118
2023.02,414.2218
2023.03,413.0436
2023.04,392.6362
2023.05,391.8729
2023.06,396.3387
2023.07,421.3045
2023.08,397.0175
2023.09,459.0128
2023.10,401.8023
2023.11,393.039
2023.12,472.2046
2024.01,455.8544
2024.02,463.1944
2024.03,425.5471
2024.04,410.0052
2024.05,405.8882
2024.06,410.8207
2024.07,452.3669
2024.08,411.1123
2024.09,459.1549
2024.10,416.8081
2024.11,402.6879
2024.12,491.823
2025.01,528.4229
2025.02,435.6697
2025.03,439.0793
2025.04,421.4538
2025.05,416.582
2025.06,422.1836
2025.07,448.2042
2025.08,418.1543
2025.09,461.0362
2025.10,447.7926
2025.11,420.1331
2025.12,507.114
2026.01,488.9948
2026.02,518.2581
